id	speaker
# NOTE: the "#" lines below are explanatory annotations included only because
# this file is a hand-made sample (Cantos 2 and 23). A plain TSV parser does
# not skip them, so the real per-canticle output must omit all "#" lines and
# contain only "id<TAB>speaker" rows.
# Canto 2 — Virgilio narrates and reports Beatrice's words to Dante;
# the inner “” spans (children of 2:45) are who Virgilio reports speaking.
2:10	Dante
2:43	Virgilio
2:45	Virgilio
2:58	Beatrice
2:76	Virgilio
2:85	Beatrice
2:87	Beatrice
2:133	Dante
# Canto 23 — the two ‘’ spans on l.7 are cited *words* ("mo"/"issa", both
# meaning "now"), not speech: no dramatic speaker, so (none).
# 23:13 is Dante's interior thought; the Frati Godenti speak at 23:77/88/91
# (source name, l.103), the individual replies resolving to Catalano (l.104).
23:7A	(none)
23:7B	(none)
23:13	Dante
23:21	Dante
23:25	Virgilio
23:73	Dante
23:77	Frati Godenti
23:88	Frati Godenti
23:91	Frati Godenti
23:94	Dante
23:100	Catalano
23:109	Dante
23:115	Catalano
23:128	Virgilio
23:133	Catalano
23:140	Virgilio
23:142	Catalano
